id,category,common_name,slug,diagnostic,prompt,status
1,Bass,Largemouth Bass,largemouth_bass,"olive-green with a dark blotchy horizontal stripe down the side, upper jaw extending past the rear of the eye, deep notch between the two dorsal fins","Cartoon-style illustration of a Largemouth Bass. olive-green with a dark blotchy horizontal stripe down the side, upper jaw extending past the rear of the eye, deep notch between the two dorsal fins. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
2,Bass,Smallmouth Bass,smallmouth_bass,"bronze-brown with dark vertical bars, upper jaw ending below the eye, red-brown eye, shallow notch between dorsal fins","Cartoon-style illustration of a Smallmouth Bass. bronze-brown with dark vertical bars, upper jaw ending below the eye, red-brown eye, shallow notch between dorsal fins. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
3,Bass,Spotted Bass,spotted_bass,"olive with a broken lateral blotch stripe and distinct rows of small dark spots below the lateral line, jaw ending level with the eye","Cartoon-style illustration of a Spotted Bass. olive with a broken lateral blotch stripe and distinct rows of small dark spots below the lateral line, jaw ending level with the eye. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
4,Bass,Striped Bass,striped_bass,"streamlined silver body with seven or eight unbroken dark horizontal stripes, two clearly separated dorsal fins","Cartoon-style illustration of a Striped Bass. streamlined silver body with seven or eight unbroken dark horizontal stripes, two clearly separated dorsal fins. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
5,Bass,White Bass,white_bass,"deep compressed silvery body, faint and broken horizontal stripes, high arched back","Cartoon-style illustration of a White Bass. deep compressed silvery body, faint and broken horizontal stripes, high arched back. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
6,Bass,Yellow Bass,yellow_bass,"brassy gold body with dark stripes that are distinctly offset and broken toward the belly, deep body","Cartoon-style illustration of a Yellow Bass. brassy gold body with dark stripes that are distinctly offset and broken toward the belly, deep body. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
7,Bass,Rock Bass,rock_bass,"sunfish-shaped brassy olive body, bright red eye, rows of dark spots following the scale rows","Cartoon-style illustration of a Rock Bass. sunfish-shaped brassy olive body, bright red eye, rows of dark spots following the scale rows. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
8,Bass,Guadalupe Bass,guadalupe_bass,"small olive-green bass with dark lateral blotches extending low onto the belly, slender profile","Cartoon-style illustration of a Guadalupe Bass. small olive-green bass with dark lateral blotches extending low onto the belly, slender profile. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
9,Trout & Salmon,Rainbow Trout,rainbow_trout,"silvery olive-green with a broad pink-red lateral band, heavy small black spotting across the body and the whole tail, white mouth","Cartoon-style illustration of a Rainbow Trout. silvery olive-green with a broad pink-red lateral band, heavy small black spotting across the body and the whole tail, white mouth. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
10,Trout & Salmon,Brown Trout,brown_trout,"golden-brown with black and red-orange spots ringed by pale halos, few or no spots on the tail","Cartoon-style illustration of a Brown Trout. golden-brown with black and red-orange spots ringed by pale halos, few or no spots on the tail. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
11,Trout & Salmon,Brook Trout,brook_trout,"dark olive back with pale worm-like vermiculation, red spots with blue halos on the flanks, white leading edges on the orange lower fins","Cartoon-style illustration of a Brook Trout. dark olive back with pale worm-like vermiculation, red spots with blue halos on the flanks, white leading edges on the orange lower fins. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
12,Trout & Salmon,Lake Trout,lake_trout,"grey-green with irregular pale cream spots over the body, deeply forked tail","Cartoon-style illustration of a Lake Trout. grey-green with irregular pale cream spots over the body, deeply forked tail. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
13,Trout & Salmon,Bull Trout,bull_trout,"olive-green with pale yellow and orange spots, no black spots on the dorsal fin, notably large head","Cartoon-style illustration of a Bull Trout. olive-green with pale yellow and orange spots, no black spots on the dorsal fin, notably large head. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
14,Trout & Salmon,Cutthroat Trout,cutthroat_trout,"olive-gold with a vivid red-orange slash under each side of the lower jaw, spotting heaviest toward the tail","Cartoon-style illustration of a Cutthroat Trout. olive-gold with a vivid red-orange slash under each side of the lower jaw, spotting heaviest toward the tail. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
15,Trout & Salmon,Chinook Salmon,chinook_salmon,"blue-green back, black spots on both lobes of the tail, black gums inside the mouth, thick body","Cartoon-style illustration of a Chinook Salmon. blue-green back, black spots on both lobes of the tail, black gums inside the mouth, thick body. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
16,Trout & Salmon,Coho Salmon,coho_salmon,"silver-blue with black spots only on the upper lobe of the tail, white gums with a dark tongue","Cartoon-style illustration of a Coho Salmon. silver-blue with black spots only on the upper lobe of the tail, white gums with a dark tongue. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
17,Trout & Salmon,Atlantic Salmon,atlantic_salmon,"bright silver with scattered black X-shaped and cross-shaped marks above the lateral line, narrow caudal peduncle","Cartoon-style illustration of an Atlantic Salmon. bright silver with scattered black X-shaped and cross-shaped marks above the lateral line, narrow caudal peduncle. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
18,Trout & Salmon,Sockeye Salmon,sockeye_salmon,"spawning form: brilliant crimson-red body with a bright green head and no distinct spotting, humped back","Cartoon-style illustration of a Sockeye Salmon. spawning form: brilliant crimson-red body with a bright green head and no distinct spotting, humped back. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
19,Trout & Salmon,Steelhead,steelhead,"sea-run rainbow trout: chrome-silver flanks with only a faint pink band and sparse fine black spotting, more streamlined than a resident rainbow","Cartoon-style illustration of a Steelhead. sea-run rainbow trout: chrome-silver flanks with only a faint pink band and sparse fine black spotting, more streamlined than a resident rainbow. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
20,Panfish,Bluegill,bluegill,"deep round compressed body, solid black opercular ear flap, dark blotch at the rear base of the soft dorsal fin, faint vertical bars, very small mouth","Cartoon-style illustration of a Bluegill. deep round compressed body, solid black opercular ear flap, dark blotch at the rear base of the soft dorsal fin, faint vertical bars, very small mouth. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
21,Panfish,Redear Sunfish,redear_sunfish,"deep olive body with a bright red-orange crescent on the margin of the black ear flap, small mouth","Cartoon-style illustration of a Redear Sunfish. deep olive body with a bright red-orange crescent on the margin of the black ear flap, small mouth. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
22,Panfish,Green Sunfish,green_sunfish,"elongated body with a noticeably larger mouth than a bluegill, blue-green wavy lines on the cheek, pale yellow-white fin margins","Cartoon-style illustration of a Green Sunfish. elongated body with a noticeably larger mouth than a bluegill, blue-green wavy lines on the cheek, pale yellow-white fin margins. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
23,Panfish,Pumpkinseed,pumpkinseed,"olive body speckled with orange and gold, wavy blue lines across the cheek, bright red-orange spot at the edge of the ear flap","Cartoon-style illustration of a Pumpkinseed. olive body speckled with orange and gold, wavy blue lines across the cheek, bright red-orange spot at the edge of the ear flap. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
24,Panfish,Warmouth,warmouth,"mottled dark red-brown body, large mouth, three to five dark lines radiating backward from a red eye","Cartoon-style illustration of a Warmouth. mottled dark red-brown body, large mouth, three to five dark lines radiating backward from a red eye. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
25,Panfish,Longear Sunfish,longear_sunfish,"orange-red body with wavy blue lines on the head, very long flexible dark ear flap edged in white","Cartoon-style illustration of a Longear Sunfish. orange-red body with wavy blue lines on the head, very long flexible dark ear flap edged in white. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
26,Panfish,Black Crappie,black_crappie,deep silvery compressed body with irregular scattered black speckling and seven or eight dorsal spines,"Cartoon-style illustration of a Black Crappie. deep silvery compressed body with irregular scattered black speckling and seven or eight dorsal spines. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
27,Panfish,White Crappie,white_crappie,"silvery compressed body with dark markings organized into faint vertical bars, five or six dorsal spines, more elongated than black crappie","Cartoon-style illustration of a White Crappie. silvery compressed body with dark markings organized into faint vertical bars, five or six dorsal spines, more elongated than black crappie. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
